-74,-73,-58
-72,-67,-64
-72,-68,-65
-71,-84,-62
-71,-66,-64
-72,-65,-64
-71,-59,-62
-78,-80,-64
-75,-69,-61
-80,-83,-71
-71,-73,-61
-70,-68,-64
-75,-72,-59
-71,-76,-61
-69,-62,-50
-65,-66,-56
-81,-71,-64
-77,-62,-66
-74,-74,-61
-75,-66,-54
-72,-71,-53
-76,-79,-58
-80,-64,-55
-69,-74,-58
-78,-73,-59
-77,-68,-57
-72,-70,-63
-71,-75,-53
-74,-64,-54
-85,-57,-62
-71,-59,-64
-67,-66,-56
-82,-63,-53
-73,-65,-63
-68,-71,-58
-75,-63,-63
-66,-68,-63
-64,-65,-59
-68,-70,-64
-82,-65,-59
-73,-67,-60
-78,-68,-60
-73,-71,-56
-74,-65,-72
-75,-68,-58
-74,-63,-56
-71,-63,-47
-75,-64,-60
-70,-63,-56
-79,-75,-61
-69,-78,-57
-71,-77,-60
-71,-70,-65
-75,-77,-58
-72,-73,-58
