-67,-68,-72
-71,-66,-64
-75,-61,-73
-71,-72,-70
-68,-75,-76
-73,-62,-77
-65,-72,-66
-66,-67,-80
-72,-66,-75
-67,-67,-73
-72,-58,-70
-64,-67,-68
-82,-64,-73
-69,-61,-73
-74,-64,-62
-66,-65,-74
-68,-66,-77
-58,-69,-63
-64,-65,-76
-58,-62,-75
-58,-66,-71
-62,-64,-74
-58,-70,-69
-63,-70,-71
-58,-62,-61
-57,-68,-71
-57,-66,-70
-58,-71,-75
-58,-69,-68
-57,-69,-71
-58,-63,-65
-62,-70,-68
-58,-68,-70
-62,-62,-69
-57,-70,-63
-67,-69,-68
-64,-68,-68
-58,-62,-71
-57,-69,-71
-58,-68,-65
-57,-65,-70
-61,-63,-74
-58,-68,-70
-58,-61,-72
-57,-62,-65
-57,-62,-72
-68,-66,-70
-57,-69,-71
-57,-66,-70
-57,-69,-70
